Row_ID,Order_Priority,Discount,Unit Price,Shipping Cost,Customer_ID,Customer_Name,Ship_Mode,Customer_Segment,Product_Category,Product_Sub_Category,Product_Container,Product_Name,Product_Base_Margin,Region,Manager,State_or_Province,City,Postal_Code,Order_Date,Ship_Date,Profit,Quantity_ordered_new,Sales,Order_ID,Return_Status
18606,Not Specified,0.01,2.88,0.50,2,Janice Fletcher,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 49,0.36,Central,Chris,Illinois,Addison,60101,2012-05-28,2012-05-30,1.32,2,5.90,88525,Not Returned
20847,High,0.01,2.84,0.93,3,Bonnie Potter,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Liquid Accent™ Tank-Style Highlighters,0.54,West,William,Washington,Anacortes,98221,2010-07-07,2010-07-08,4.56,4,13.01,88522,Not Returned
23086,Not Specified,0.03,6.68,6.15,3,Bonnie Potter,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1968,0.37,West,William,Washington,Anacortes,98221,2011-07-27,2011-07-28,-47.64,7,49.92,88523,Not Returned
23087,Not Specified,0.01,5.68,3.60,3,Bonnie Potter,Regular Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme® Preferred Stainless Steel Scissors,0.56,West,William,Washington,Anacortes,98221,2011-07-27,2011-07-28,-30.51,7,41.64,88523,Not Returned
23088,Not Specified,0.00,205.99,2.50,3,Bonnie Potter,Express Air,Corporate,Technology,Telephones and Communication,Small Box,V70,0.59,West,William,Washington,Anacortes,98221,2011-07-27,2011-07-27,998.20,8,1446.67,88523,Not Returned
23597,Medium,0.09,55.48,14.30,3,Bonnie Potter,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,0.37,West,William,Washington,Anacortes,98221,2011-11-09,2011-11-11,1388.05,37,2011.67,88524,Not Returned
25549,Low,0.08,120.97,26.30,3,Bonnie Potter,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,Canon S750 Color Inkjet Printer,0.38,West,William,Washington,Anacortes,98221,2013-07-01,2013-07-08,1001.45,12,1451.37,88526,Not Returned
20228,Not Specified,0.02,500.98,26.00,5,Ronnie Proctor,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Global Troy™ Executive Leather Low-Back Tilter,0.60,West,William,California,San Gabriel,91776,2010-12-13,2010-12-15,4390.37,12,6362.85,90193,Not Returned
19483,Low,0.08,6.48,6.81,5,Ronnie Proctor,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1930,0.36,West,William,California,San Gabriel,91776,2012-05-12,2012-05-21,-141.26,18,113.25,90197,Not Returned
24782,High,0.01,90.24,0.99,6,Dwight Hwang,Regular Air,Home Office,Office Supplies,Appliances,Small Box,Kensington 6 Outlet MasterPiece® HOMEOFFICE Power Control Center,0.56,West,William,California,San Jose,95123,2011-05-26,2011-05-26,1045.47,16,1515.17,90194,Not Returned
24563,Critical,0.07,6.48,6.60,6,Dwight Hwang,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 21,0.37,West,William,California,San Jose,95123,2012-12-29,2012-12-31,-13.86,4,28.61,90200,Not Returned
24564,Critical,0.01,4.84,0.71,6,Dwight Hwang,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,*Staples* Highlighting Markers,0.52,West,William,California,San Jose,95123,2012-12-29,2012-12-31,57.58,17,83.45,90200,Not Returned
24565,Critical,0.10,85.99,0.99,6,Dwight Hwang,Regular Air,Home Office,Technology,Telephones and Communication,Wrap Bag,Accessory34,0.55,West,William,California,San Jose,95123,2012-12-29,2012-12-31,1176.51,24,1705.08,90200,Not Returned
21866,High,0.05,12.28,4.86,7,Melanie Garner,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1933,0.38,East,Erin,Massachusetts,Fall River,2724,2012-10-30,2012-10-31,72.99,19,232.95,90198,Not Returned
20876,Medium,0.08,140.98,36.09,8,Melanie Garner,Delivery Truck,Home Office,Furniture,Bookcases,Jumbo Box,"Sauder Forest Hills Library, Woodland Oak Finish",0.77,East,Erin,New Hampshire,Bedford,3110,2012-12-25,2012-12-26,-158.74,5,705.47,90199,Not Returned
20877,Medium,0.10,286.85,61.76,9,Lorraine Houston,Delivery Truck,Home Office,Furniture,Tables,Jumbo Box,Riverside Furniture Stanwyck Manor Table Series,0.78,East,Erin,New Jersey,Camden,8101,2012-12-25,2012-12-27,-346.62,8,1794.27,90199,Not Returned
22241,Critical,0.06,15.57,1.39,10,Meredith Norris Thomas,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,Park Ridge™ Embossed Executive Business Envelopes,0.38,East,Erin,New Jersey,Pennsauken,8109,2011-10-04,2011-10-05,142.80,14,206.95,90195,Not Returned
21776,Critical,0.06,9.48,7.29,11,Marcus Dunlap,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",0.45,East,Erin,New Jersey,Roselle,7203,2010-08-15,2010-08-17,-53.81,22,211.15,90192,Not Returned
23328,High,0.04,10.98,3.37,12,Kara Pace,Regular Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Fiskars® Softgrip Scissors,0.57,East,Erin,Rhode Island,Cranston,2907,2012-02-24,2012-02-26,23.12,8,90.39,90196,Not Returned
24844,Medium,0.09,78.69,19.99,14,Gwendolyn F Tyson,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock,0.43,Central,Chris,Minnesota,Prior Lake,55372,2010-05-12,2010-05-14,803.47,16,1164.45,86838,Not Returned
